country,year,hiv_deaths,doctors_per_1000,number_of_doctors
Afghanistan,1990,60.0,0.109,109.0
Angola,1990,600.0,0.042,42.0
Argentina,1990,3000.0,2.68,2680.0
Armenia,1990,60.0,,
Australia,1990,350.0,2.17,2170.0
Austria,1990,60.0,3.01,3010.0
Azerbaijan,1990,60.0,3.7,3700.0
Burundi,1990,3900.0,0.058,58.0
Belgium,1990,60.0,3.27,3270.0
Benin,1990,120.0,0.051,51.0
Burkina Faso,1990,6700.0,,
Bangladesh,1990,60.0,0.177,177.0
Bulgaria,1990,60.0,3.25,3250.0
Bahamas,1990,350.0,1.29,1290.0
Belarus,1990,60.0,2.91,2910.0
Belize,1990,60.0,0.639,639.0
Bolivia,1990,1500.0,0.45,450.0
Brazil,1990,4600.0,1.07,1070.0
Barbados,1990,60.0,1.14,1140.0
Bhutan,1990,60.0,0.333,333.0
Botswana,1990,600.0,,
Central African Republic,1990,1000.0,0.038,38.0
Canada,1990,1300.0,2.1,2100.0
Switzerland,1990,150.0,2.98,2980.0
China,1990,,1.13,1130.0
Cote d'Ivoire,1990,3900.0,0.088,88.0
Cameroon,1990,600.0,0.082,82.0
"Congo, Rep.",1990,3000.0,0.276,276.0
Colombia,1990,1100.0,0.803,803.0
Comoros,1990,60.0,0.113,113.0
Costa Rica,1990,60.0,1.26,1260.0
Cuba,1990,60.0,3.64,3640.0
Czech Republic,1990,60.0,2.72,2720.0
Germany,1990,2500.0,,
Djibouti,1990,60.0,0.162,162.0
Denmark,1990,60.0,2.49,2490.0
Dominican Republic,1990,350.0,1.49,1490.0
Algeria,1990,60.0,0.942,942.0
Ecuador,1990,600.0,0.936,936.0
Egypt,1990,60.0,0.76,760.0
Eritrea,1990,120.0,,
Spain,1990,3000.0,2.05,2050.0
Estonia,1990,60.0,3.5,3500.0
Finland,1990,60.0,2.9,2900.0
Fiji,1990,60.0,,
France,1990,8100.0,3.12,3120.0
Gabon,1990,120.0,,
UK,1990,600.0,1.62,1620.0
Georgia,1990,60.0,4.93,4930.0
Ghana,1990,600.0,,
Guinea,1990,1100.0,0.134,134.0
Gambia,1990,60.0,,
Guinea-Bissau,1990,60.0,,
Equatorial Guinea,1990,60.0,0.281,281.0
Greece,1990,150.0,3.33,3330.0
Guatemala,1990,350.0,0.78,780.0
Guyana,1990,150.0,0.17,170.0
Honduras,1990,600.0,0.7,700.0
Croatia,1990,60.0,2.91,2910.0
Haiti,1990,3900.0,0.08,80.0
Hungary,1990,350.0,2.94,2940.0
Indonesia,1990,60.0,0.144,144.0
India,1990,5300.0,,
Ireland,1990,60.0,1.56,1560.0
Iran,1990,150.0,,
Iceland,1990,60.0,2.85,2850.0
Israel,1990,60.0,2.99,2990.0
Italy,1990,1600.0,4.7,4700.0
Jamaica,1990,350.0,0.57,570.0
Japan,1990,350.0,1.65,1650.0
Kazakhstan,1990,60.0,3.93,3930.0
Kenya,1990,10.0,,
Kyrgyz Republic,1990,60.0,3.42,3420.0
Cambodia,1990,350.0,,
South Korea,1990,150.0,0.811,811.0
Lao,1990,60.0,0.234,234.0
Lebanon,1990,60.0,,
Liberia,1990,60.0,,
Sri Lanka,1990,60.0,,
Lesotho,1990,60.0,0.043,43.0
Lithuania,1990,60.0,3.91,3910.0
Luxembourg,1990,60.0,2.01,2009.9999999999998
Latvia,1990,60.0,3.51,3510.0
